AGUA_CRUDA,CLORO,SULFATO_AL,SULFATO_CU,PH_I,pH_S,COLOR_I,COLOR_S,TURBIEDAD_I,TURBIEDAD_S,,
46126.00,109.00,500.00,24.00,7.64,7.09,281.00,36.47,26.33,0.51,,
38987.00,127.00,1000.00,24.00,7.82,7.19,297.00,36.66,27.55,0.46,,
39852.00,122.00,500.00,36.00,7.88,7.25,271.08,28.21,25.74,0.43,,
41864.00,122.00,500.00,24.00,7.81,7.21,254.75,25.17,24.63,0.41,,
37908.00,113.00,525.00,24.00,7.78,7.17,231.67,33.04,22.19,0.45,,
41789.00,116.00,1000.00,24.00,7.94,7.16,173.70,22.96,16.78,0.49,,
41401.00,127.00,500.00,30.00,7.76,7.22,171.90,15.82,17.59,0.43,,
42716.00,112.00,500.00,36.00,7.86,7.23,180.67,31.95,17.11,0.38,,
40354.00,143.00,525.00,30.00,7.90,7.24,168.00,28.84,16.20,0.35,,
39111.00,123.00,1000.00,24.00,8.04,7.28,177.75,35.38,16.68,0.50,,
40130.00,111.00,500.00,30.00,7.75,7.16,180.75,22.75,19.79,0.42,,
40869.00,136.00,500.00,30.00,7.75,7.21,207.25,22.64,22.28,0.46,,
41060.00,120.00,525.00,36.00,7.67,7.22,384.00,22.72,40.45,0.34,,
40057.00,125.00,1000.00,30.00,7.80,7.12,420.67,32.85,46.01,0.38,,
38623.00,119.00,1000.00,30.00,7.72,7.12,423.75,24.83,45.92,0.42,,
41059.00,128.00,500.00,30.00,7.78,7.07,321.83,26.68,34.43,0.43,,
39111.00,120.00,550.00,24.00,7.58,7.11,303.50,35.49,29.23,0.43,,
40539.00,125.00,1050.00,36.00,7.67,7.10,277.50,33.89,26.80,0.46,,
40737.00,121.00,1000.00,30.00,7.79,7.08,256.75,22.78,24.16,0.48,,
42027.00,129.00,500.00,24.00,7.72,7.08,281.00,23.78,27.07,0.34,,
40042.00,121.00,1000.00,24.00,7.78,7.05,498.42,19.48,57.33,0.49,,
40890.00,112.00,1000.00,24.00,7.64,7.01,572.92,28.16,73.61,0.45,,
40068.00,122.00,1425.00,24.00,7.71,7.06,444.75,23.50,38.62,0.36,,
40991.00,117.00,925.00,24.00,7.65,7.09,510.25,25.36,51.70,0.48,,
41094.00,113.00,850.00,24.00,7.62,7.04,720.25,19.94,46.57,0.27,,
41230.00,117.00,1700.00,24.00,7.69,7.04,691.17,13.92,65.90,0.25,,
42651.00,117.00,850.00,24.00,7.71,7.00,755.56,32.90,63.96,0.32,,
39077.00,112.00,1700.00,24.00,7.54,6.91,674.82,28.36,65.00,0.38,,
39845.00,115.00,850.00,18.00,7.67,7.07,608.75,19.86,70.60,0.31,,
40950.00,117.00,850.00,18.00,7.63,6.99,708.25,34.47,77.87,0.44,,
38996.00,120.00,1700.00,18.00,7.65,6.99,833.83,49.23,80.28,0.58,,
40022.00,118.00,850.00,30.00,7.65,7.01,880.00,23.00,84.52,0.39,,
39944.00,110.00,850.00,24.00,7.65,6.93,864.00,41.00,83.21,0.38,,
38966.00,122.00,850.00,24.00,7.61,7.01,854.00,37.00,77.86,0.56,,
40167.00,113.00,850.00,24.00,7.67,6.95,753.00,40.00,73.07,0.53,,
39869.00,115.00,1700.00,24.00,7.69,6.95,651.00,29.00,59.72,0.44,,
39985.00,110.00,850.00,30.00,7.70,6.96,630.00,36.00,55.89,0.41,,
40251.00,118.00,850.00,24.00,7.66,7.04,604.00,35.00,58.48,0.43,,
40011.00,120.00,1700.00,24.00,7.68,7.05,587.00,35.00,51.40,0.41,,
39992.00,113.00,850.00,30.00,7.66,7.05,504.00,60.00,49.14,0.65,,
40968.00,120.00,850.00,24.00,7.75,6.99,435.00,37.00,42.64,0.41,,
39755.00,113.00,850.00,24.00,7.73,7.01,463.00,40.00,45.69,0.48,,
38100.00,114.00,850.00,30.00,7.68,6.98,467.00,29.00,44.13,0.54,,
40818.00,114.00,1700.00,24.00,7.68,6.98,431.00,32.00,39.13,0.54,,
40714.00,110.00,850.00,24.00,7.73,7.02,371.00,36.00,36.50,0.47,,
39999.00,100.00,850.00,30.00,7.74,6.98,334.00,28.00,33.66,0.50,,
39777.00,113.00,850.00,24.00,7.63,6.98,352.00,28.00,33.83,0.48,,
39631.00,111.00,850.00,24.00,7.66,6.97,300.00,26.00,29.53,0.48,,
40231.00,110.00,850.00,30.00,7.73,6.98,258.00,18.00,25.78,0.52,,
40052.00,118.00,850.00,24.00,7.70,6.94,247.00,17.00,23.97,0.43,,
39970.00,108.00,850.00,24.00,7.70,6.88,228.00,16.00,21.99,0.48,,
39766.00,119.00,850.00,30.00,7.70,6.96,214.00,22.00,20.28,0.45,,
40023.00,107.00,850.00,24.00,7.67,7.00,184.00,18.00,17.37,0.46,,
40223.00,113.00,850.00,24.00,7.65,7.03,157.00,20.00,16.38,0.58,,
40000.00,115.00,850.00,30.00,7.64,7.02,167.00,26.00,15.86,0.56,,
40134.00,117.00,850.00,24.00,7.68,7.01,168.00,18.00,14.70,0.52,,
39760.00,117.00,850.00,24.00,7.63,6.98,164.00,28.00,15.05,0.58,,
39660.00,121.00,850.00,30.00,7.63,7.01,147.00,31.00,13.08,0.58,,
40099.00,117.00,850.00,26.00,7.59,6.96,153.00,24.00,14.09,0.37,,
42478.23,117.00,1700.00,30.00,7.68,7.01,183.00,38.00,16.10,0.45,,
42381.29,118.00,850.00,30.00,7.62,6.98,172.00,42.00,15.90,0.40,,
42260.28,118.00,850.00,36.00,7.60,7.00,177.00,39.00,15.30,0.40,,
40684.17,117.00,850.00,30.00,7.75,6.98,168.00,35.00,15.00,0.32,,
43053.85,116.00,850.00,30.00,7.70,6.97,146.00,24.00,12.49,0.37,,
40954.96,115.00,850.00,36.00,7.58,7.00,181.00,29.00,17.88,0.39,,
42358.65,127.00,850.00,36.00,7.73,6.99,294.00,27.00,28.00,0.32,,
42165.94,118.00,1700.00,30.00,7.74,6.98,355.00,24.00,33.04,0.32,,
41965.57,125.00,850.00,36.00,7.66,6.96,318.00,19.00,34.34,0.34,,
39133.83,115.00,850.00,36.00,7.77,6.95,313.00,13.00,33.01,0.38,,
40901.52,128.00,850.00,30.00,7.71,6.98,315.00,18.00,31.13,0.35,,
41854.70,102.00,1700.00,36.00,7.65,6.93,302.00,25.00,29.13,0.44,,
40976.73,118.00,850.00,30.00,7.71,6.97,291.00,27.00,27.87,0.35,,
40217.56,122.00,850.00,36.00,7.67,6.98,268.00,18.00,25.56,0.32,,
40626.56,118.00,1700.00,36.00,7.70,6.93,246.00,14.00,24.22,0.31,,
44689.00,125.00,850.00,36.00,7.61,6.85,229.00,20.00,21.53,0.32,,
43783.04,116.00,850.00,30.00,7.56,6.94,227.00,34.00,20.38,0.38,,
41012.47,121.00,1700.00,36.00,7.67,7.00,200.00,26.00,17.97,0.38,,
41922.38,128.00,1700.00,30.00,7.79,7.00,255.00,18.00,26.31,0.28,,
38159.72,127.00,1700.00,36.00,7.77,6.95,1975.00,15.00,327.00,0.46,,
37823.25,146.00,1700.00,36.00,7.60,6.65,3098.00,24.00,467.00,0.47,,
44139.54,133.00,1700.00,36.00,7.56,6.72,2943.00,34.00,391.00,0.54,,
34216.81,132.00,1700.00,30.00,7.64,6.78,2750.00,46.00,439.00,0.68,,
45421.21,136.00,3775.00,30.00,7.48,6.56,4623.00,54.00,727.00,0.67,,
48190.74,140.00,2350.00,24.00,7.66,6.59,4201.00,72.00,636.00,0.94,,
47874.05,142.00,3600.00,18.00,7.62,6.62,4411.00,71.00,639.25,0.64,,
47470.95,146.00,3800.00,18.00,7.61,6.51,7804.00,131.00,1076.17,0.89,,
46757.60,130.00,5100.00,18.00,7.45,6.58,7646.00,108.00,1009.75,0.96,,
41296.19,117.00,3700.00,18.00,7.46,6.66,7218.00,38.00,762.70,0.74,,
43903.16,112.00,5100.00,18.00,7.61,6.51,8868.00,26.00,1332.75,0.57,,
47142.31,102.00,5100.00,12.00,7.28,6.47,8899.00,33.00,1467.08,0.50,,
45994.78,130.00,3400.00,12.00,7.60,6.68,8490.00,48.00,1334.33,0.56,,
46016.12,121.00,5100.00,18.00,7.75,6.52,9121.00,24.00,1139.91,0.54,,
47038.50,128.00,1700.00,12.00,7.72,6.72,6388.00,22.00,745.00,0.56,,
45432.67,118.00,3400.00,12.00,7.67,6.77,3605.00,39.00,476.33,0.40,,
46625.67,116.00,1700.00,18.00,7.61,6.83,2718.00,51.00,323.17,0.36,,
45704.21,119.00,1700.00,12.00,7.68,6.84,2823.00,28.00,330.42,0.40,,
45354.85,119.00,1700.00,12.00,7.71,6.87,2716.00,51.00,327.75,0.43,,
44025.60,129.00,1700.00,12.00,7.59,6.90,2482.00,58.00,285.50,0.41,,
43524.72,122.00,1700.00,18.00,7.69,6.85,2458.00,64.00,253.50,0.45,,
45317.68,111.00,1700.00,18.00,7.64,6.76,2181.00,46.00,226.58,0.35,,
45400.20,116.00,1700.00,12.00,7.58,6.79,1943.00,54.00,202.33,0.35,,
44089.70,111.00,1700.00,24.00,7.53,6.86,1746.00,56.00,180.75,0.27,,
44550.90,116.00,1700.00,12.00,7.59,6.86,1582.00,49.00,159.58,0.43,,
44496.80,117.00,1700.00,18.00,7.54,6.89,1506.00,59.00,144.33,0.36,,
44119.45,123.00,1700.00,12.00,7.62,6.91,1457.00,42.00,120.50,0.31,,
43687.65,118.00,1700.00,12.00,7.72,6.85,1233.00,61.00,107.04,0.48,,
44589.90,120.00,1700.00,18.00,7.66,6.88,3432.00,68.00,140.61,0.49,,
44416.90,120.00,1700.00,18.00,7.53,6.74,2195.00,75.00,203.17,0.37,,
44976.70,120.00,1700.00,18.00,7.51,6.83,2923.00,66.00,267.25,0.41,,
43718.60,119.00,2550.00,12.00,7.52,6.84,1942.00,59.00,195.75,0.36,,
44285.70,127.00,1700.00,24.00,7.62,6.92,1712.00,42.00,163.50,0.46,,
43394.40,128.00,850.00,18.00,7.60,6.83,1542.00,48.00,139.00,0.48,,
35105.30,123.00,1800.00,18.00,7.63,6.86,1239.00,40.00,121.67,0.35,,
41009.10,121.00,950.00,24.00,7.70,6.98,1040.00,48.00,108.58,0.42,,
39992.90,112.00,1700.00,12.00,7.74,6.82,900.00,22.00,111.50,0.45,,
40920.80,115.00,1700.00,18.00,7.61,6.79,815.00,54.00,93.19,0.35,,
38374.40,112.00,1700.00,18.00,7.72,6.85,1233.00,61.00,107.04,0.48,,
38480.20,100.00,1700.00,18.00,7.60,6.83,847.00,48.00,92.46,0.48,,
38419.70,99.00,850.00,24.00,7.69,6.85,885.00,43.00,98.88,0.45,,
38218.30,104.00,1700.00,18.00,7.78,6.76,908.00,13.00,100.05,0.54,,
31626.60,103.00,850.00,24.00,7.66,6.90,978.00,14.00,99.55,0.41,,
40644.00,105.00,1700.00,24.00,7.55,6.86,860.00,17.00,87.25,0.27,,
38036.00,109.00,850.00,24.00,7.56,6.91,865.00,25.00,79.39,0.32,,
39823.00,111.00,1700.00,24.00,7.53,6.92,714.00,17.00,76.20,0.38,,
39148.00,107.00,850.00,24.00,7.75,6.93,633.00,32.00,60.68,0.39,,
39646.00,96.00,1700.00,24.00,7.66,6.87,712.00,30.00,65.79,0.34,,
41242.00,92.00,850.00,24.00,7.66,6.87,618.00,28.00,60.38,0.53,,
37640.00,93.00,1700.00,24.00,7.64,6.91,520.00,34.00,48.10,0.45,,
39318.00,93.00,850.00,24.00,7.65,6.97,523.00,42.00,49.83,0.38,,
38879.00,95.00,1700.00,24.00,7.58,7.02,460.00,37.00,40.61,0.35,,
39070.00,91.00,850.00,24.00,7.69,6.97,391.00,36.00,35.33,0.32,,
37346.00,92.00,850.00,24.00,7.58,6.94,359.00,33.00,35.16,0.39,,
42161.00,90.00,1700.00,24.00,7.68,6.98,304.00,26.00,31.47,0.43,,
39548.00,99.00,850.00,24.00,7.70,6.97,273.00,12.00,28.47,0.41,,
38964.00,93.00,850.00,24.00,7.64,6.93,242.00,17.00,22.28,0.34,,
38656.00,89.00,850.00,24.00,7.49,6.90,260.00,22.00,22.36,0.30,,
39580.00,98.00,850.00,24.00,7.66,7.11,230.00,27.00,20.12,0.29,,
39483.00,94.00,850.00,24.00,7.57,6.93,222.00,27.00,19.24,0.33,,
39700.00,103.00,550.00,24.00,7.44,6.85,218.00,27.00,19.76,0.37,,
39446.00,103.00,550.00,24.00,7.57,7.01,215.00,32.00,19.11,0.33,,
39602.00,104.00,1000.00,30.00,7.52,7.07,215.00,26.00,18.87,0.43,,
38370.00,102.00,575.00,30.00,7.55,7.05,223.00,22.00,20.24,0.35,,
39688.00,100.00,1000.00,30.00,7.47,6.93,198.00,33.00,18.47,0.33,,
37780.00,104.00,500.00,30.00,7.63,6.99,194.00,36.00,17.12,0.41,,
38472.00,99.00,1000.00,30.00,7.73,7.12,202.00,25.00,49.61,0.32,,
39318.00,104.00,575.00,30.00,7.63,7.22,169.00,24.00,15.18,0.45,,
39101.00,104.00,500.00,30.00,7.69,7.07,215.00,26.00,18.93,0.41,,
40227.00,103.00,1000.00,30.00,7.38,6.98,202.00,21.00,17.71,0.41,,
38783.00,96.00,1000.00,30.00,7.58,6.97,235.00,30.00,21.02,0.41,,
39727.00,94.00,1000.00,30.00,7.49,7.00,173.00,27.00,14.94,0.35,,
34256.00,107.00,500.00,30.00,7.56,6.96,195.00,41.00,15.80,0.29,,
45148.00,104.00,1000.00,24.00,7.66,7.06,158.00,37.00,13.67,0.36,,
39453.00,104.00,550.00,24.00,7.66,7.05,204.00,45.00,16.65,0.44,,
41491.00,103.00,1000.00,30.00,7.70,7.00,205.00,54.00,16.26,0.35,,
40887.00,102.00,1000.00,24.00,7.74,6.91,176.00,44.00,14.33,0.38,,
40744.00,103.00,500.00,30.00,7.73,7.17,199.00,44.00,15.56,0.37,,
42259.00,102.00,1000.00,24.00,7.76,7.23,187.00,58.00,14.93,0.42,,
42382.00,109.00,500.00,24.00,7.80,7.32,213.00,59.00,16.30,0.38,,
42458.00,102.00,1000.00,30.00,7.76,7.23,217.00,49.00,17.67,0.36,,
42419.00,107.00,500.00,24.00,7.60,7.06,210.00,57.00,16.61,0.37,,
42022.00,104.00,1000.00,24.00,7.73,7.14,220.00,57.00,16.12,0.42,,
43051.00,110.00,1000.00,30.00,7.80,7.24,195.00,54.00,14.64,0.40,,
42186.00,109.00,500.00,24.00,7.78,7.24,202.00,65.00,15.21,0.40,,
43303.00,107.00,500.00,24.00,7.76,6.99,223.00,70.00,16.70,0.37,,
42061.00,104.00,1000.00,24.00,7.72,7.15,238.00,66.00,19.83,0.37,,
41136.00,106.00,1000.00,30.00,7.67,7.00,222.00,67.00,16.90,0.37,,
43346.00,104.00,500.00,24.00,7.72,7.07,228.00,64.00,17.97,0.32,,
42056.00,103.00,1000.00,24.00,7.75,7.04,229.00,64.00,17.98,0.38,,
41562.00,104.00,1000.00,30.00,7.75,7.06,208.00,65.00,16.05,0.36,,
40663.00,105.00,500.00,24.00,7.71,7.07,199.00,54.00,15.38,0.47,,
44935.00,105.00,1000.00,24.00,7.75,7.03,223.00,62.00,16.86,0.36,,
42364.00,111.00,1000.00,30.00,7.77,7.03,226.00,65.00,16.75,0.37,,
43804.00,114.00,500.00,24.00,7.71,7.00,204.00,63.00,15.43,0.36,,
41647.00,107.00,1000.00,24.00,7.77,7.05,169.00,41.00,14.43,0.38,,
44214.00,111.00,500.00,30.00,7.69,7.10,163.00,31.00,14.67,0.50,,
43839.00,110.00,1000.00,24.00,7.93,7.15,139.00,28.00,13.23,0.44,,
42841.00,111.00,500.00,24.00,7.83,7.12,149.00,34.00,13.40,0.44,,
43397.00,108.00,1000.00,24.00,7.72,6.82,176.00,48.00,13.82,0.38,,
43549.00,114.00,500.00,24.00,7.70,7.06,152.00,39.00,12.33,0.39,,
43784.50,112.00,1000.00,24.00,7.70,7.06,133.00,36.00,11.46,0.41,,
43784.50,110.00,500.00,18.00,7.73,7.04,135.00,33.00,11.16,0.36,,
43605.00,110.00,1000.00,20.00,7.69,7.04,129.00,32.00,10.84,0.36,,
43700.00,108.00,500.00,20.00,7.77,7.07,134.00,29.00,10.60,0.41,,
45061.00,114.00,1000.00,24.00,7.85,7.13,102.00,28.00,9.82,0.45,,
42272.00,103.00,500.00,24.00,7.77,7.10,132.00,32.00,10.96,0.39,,
43619.00,103.00,1000.00,36.00,7.72,7.04,129.00,27.00,12.27,0.32,,
40021.00,101.00,500.00,24.00,7.77,7.08,133.00,33.00,10.93,0.38,,
43930.00,100.00,500.00,24.00,7.74,7.08,133.00,29.00,10.65,0.42,,
43530.00,101.00,1000.00,24.00,7.84,7.16,121.00,31.00,9.78,0.33,,
45206.00,102.00,500.00,24.00,7.88,7.17,112.00,24.00,10.02,0.39,,
39635.00,86.00,1000.00,30.00,7.84,7.16,117.00,36.00,9.58,0.43,,
43434.00,108.00,500.00,30.00,7.71,7.07,114.00,38.00,10.41,0.40,,
38102.00,101.00,1000.00,20.00,7.82,7.07,122.00,29.00,10.36,0.34,,
38022.00,101.00,500.00,20.00,7.92,7.10,123.00,34.00,10.02,0.38,,
42815.00,101.00,1000.00,30.00,7.84,7.08,107.00,31.00,10.67,0.35,,
43412.00,91.00,500.00,30.00,7.77,7.07,123.00,26.00,12.65,0.40,,
43822.00,102.00,500.00,40.00,7.85,7.13,125.00,26.00,12.59,0.38,,
43103.00,98.00,500.00,30.00,7.87,7.10,98.00,29.00,11.63,0.52,,
43471.00,97.00,1000.00,40.00,7.68,6.98,99.00,34.00,12.59,0.49,,
42041.00,93.00,500.00,40.00,7.74,7.03,137.00,33.00,12.08,0.45,,
42811.00,97.00,1050.00,30.00,7.85,7.03,140.00,30.00,12.16,0.48,,
42020.00,104.00,500.00,30.00,7.73,7.02,134.00,34.00,11.52,0.35,,
42798.00,92.00,500.00,20.00,7.84,7.07,140.00,32.00,11.59,0.44,,
42912.00,96.00,1000.00,30.00,7.68,7.04,133.00,34.00,12.63,0.45,,
42801.00,98.00,500.00,20.00,7.73,7.13,125.00,26.00,22.53,0.38,,
42245.00,94.00,1000.00,20.00,7.74,7.04,119.00,29.00,11.36,0.30,,
40683.00,86.00,500.00,30.00,7.77,7.07,118.00,29.00,11.43,0.33,,
42297.00,100.00,500.00,20.00,7.73,7.05,129.00,29.00,10.16,0.37,,
43350.00,96.00,500.00,30.00,7.69,7.01,120.00,31.00,11.04,0.38,,
42765.00,99.00,1000.00,20.00,7.73,7.03,97.00,32.00,10.12,0.30,,
42086.00,97.00,500.00,30.00,7.76,7.04,88.00,34.00,9.77,0.43,,
42647.00,98.00,500.00,30.00,7.77,7.00,108.00,33.00,10.37,0.40,,
43534.00,102.00,1000.00,30.00,7.75,7.01,104.00,25.00,10.32,0.34,,
43264.00,97.00,500.00,20.00,7.74,7.03,123.00,32.00,10.62,0.32,,
42955.00,95.00,500.00,30.00,7.80,7.10,94.00,42.00,10.03,0.32,,
42570.00,96.00,500.00,20.00,7.70,7.09,79.00,40.00,9.96,0.32,,
43058.00,98.00,1000.00,30.00,7.70,7.05,70.00,34.00,10.26,0.32,,
41381.63,99.00,500.00,20.00,7.63,7.05,86.00,21.00,10.15,0.32,,
42558.40,97.00,500.00,30.00,7.66,7.01,107.00,28.00,10.48,0.36,,
40740.00,94.00,500.00,20.00,7.64,7.07,110.00,37.00,10.17,0.38,,
44113.00,97.00,500.00,30.00,7.64,7.07,111.00,38.00,10.60,0.38,,
42263.00,97.00,500.00,20.00,7.71,7.07,104.00,48.00,10.45,0.39,,
43223.00,87.00,1000.00,20.00,7.83,7.20,87.00,44.00,10.33,0.39,,
42051.00,96.00,500.00,30.00,7.77,7.17,135.00,45.00,10.20,0.32,,
41825.00,91.00,500.00,30.00,7.77,7.20,129.00,36.00,10.89,0.39,,
41505.00,95.00,550.00,30.00,7.94,7.22,79.00,28.00,10.33,0.37,,
42988.00,93.00,500.00,20.00,7.89,7.21,114.00,34.00,11.33,0.31,,
44401.00,92.00,1000.00,30.00,8.00,7.21,98.00,31.00,10.80,0.41,,
43241.00,96.00,500.00,20.00,7.81,7.15,101.00,30.00,11.46,0.36,,
44904.00,93.00,500.00,30.00,7.62,7.07,121.00,38.00,11.05,0.35,,
43507.00,93.00,500.00,30.00,7.75,7.09,107.00,40.00,11.55,0.34,,
43950.00,84.00,1000.00,30.00,7.74,7.08,110.00,37.00,11.68,0.32,,
42948.00,105.00,500.00,20.00,7.82,7.04,109.00,31.00,11.68,0.35,,
43097.00,97.00,500.00,20.00,7.77,6.93,109.00,35.00,11.16,0.33,,
40999.00,98.00,500.00,30.00,7.70,7.11,107.00,40.00,11.48,0.35,,
42918.00,98.00,500.00,10.00,7.69,7.08,113.00,41.00,11.71,0.32,,
45839.00,95.00,1000.00,30.00,7.74,7.09,133.00,46.00,12.37,0.31,,
42151.00,96.00,500.00,30.00,7.75,7.14,115.00,39.00,11.90,0.33,,
42429.00,94.00,500.00,30.00,7.76,7.14,72.00,27.00,11.60,0.35,,
42940.00,100.00,500.00,30.00,7.79,7.10,80.00,25.00,11.62,0.34,,
